Date_(M/D/Y),Experiment_Day,Jar_#,Jar_ID,Temperature_Cycle,Temperature_Cycle_Day,Temperature_Cycle_Total_Days,Temperature_Cycle_Number,Temperature_C,Enrichment_(gPP/L),Sample_Volume_(mL),Dilution_Volume_(mL),Sub_Sample_Volume_(mL),E.patella_abundance_(#protists),Diluted_E.patella_(yes/no),T.pyriformis_abundance_(#protists),Diluted_T.pyriformis_(yes/no),E.patella_Density_(#protists/mL),T.pyriformis_Density_(#protists/mL)
06/27/20,18,81,ELE5,E,19,32,1,27,0.1,0.3,0.0,N/A,7,NO,0,NO,23.33333333,0
06/27/20,18,73,ELT1,E,19,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,54,YES,N/A,3780
06/27/20,18,74,ELT2,E,19,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,18,YES,N/A,1260
06/27/20,18,75,ELT3,E,19,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,26,YES,N/A,1820
06/27/20,18,76,ELT4,E,19,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,19,YES,N/A,1330
06/27/20,18,104,FHE1,F,19,36,1,27,0.4,0.3,0.0,N/A,16,NO,0,NO,53.33333333,0
06/27/20,18,105,FHE2,F,19,36,1,27,0.4,0.3,0.0,N/A,6,NO,0,NO,20,0
06/27/20,18,106,FHE3,F,19,36,1,27,0.4,0.3,0.0,N/A,11,NO,0,NO,36.66666667,0
06/27/20,18,107,FHE4,F,19,36,1,27,0.4,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/27/20,18,108,FHE5,F,19,36,1,27,0.4,0.3,0.0,N/A,9,NO,0,NO,30,0
06/27/20,18,100,FHT1,F,19,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,62,YES,N/A,7095.555556
06/27/20,18,101,FHT2,F,19,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,56,YES,N/A,6408.888889
06/27/20,18,102,FHT3,F,19,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/27/20,18,103,FHT4,F,19,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,30,YES,N/A,3433.333333
06/27/20,18,95,FLE1,F,19,36,1,27,0.1,0.3,0.0,N/A,8,NO,0,NO,26.66666667,0
06/27/20,18,96,FLE2,F,19,36,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
06/27/20,18,97,FLE3,F,19,36,1,27,0.1,0.3,0.0,N/A,18,NO,1,NO,60,3.333333333
06/27/20,18,98,FLE4,F,19,36,1,27,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/27/20,18,99,FLE5,F,19,36,1,27,0.1,0.3,0.0,N/A,10,NO,0,NO,33.33333333,0
06/27/20,18,91,FLT1,F,19,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,35,YES,N/A,2450
06/27/20,18,92,FLT2,F,19,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,47,YES,N/A,3290
06/27/20,18,93,FLT3,F,19,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,50,YES,N/A,3500
06/27/20,18,94,FLT4,F,19,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,19,YES,N/A,1330
06/29/20,20,14,AHE1,A,5,16,2,22,0.4,0.3,0.0,N/A,3,NO,0,NO,10,0
06/29/20,20,15,AHE2,A,5,16,2,22,0.4,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/29/20,20,16,AHE3,A,5,16,2,22,0.4,0.3,0.0,N/A,6,NO,0,NO,20,0
06/29/20,20,17,AHE4,A,5,16,2,22,0.4,0.3,0.0,N/A,17,NO,0,NO,56.66666667,0
06/29/20,20,18,AHE5,A,5,16,2,22,0.4,0.3,0.0,N/A,26,NO,0,NO,86.66666667,0
06/29/20,20,10,AHT1,A,5,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,40,YES,N/A,4577.777778
06/29/20,20,11,AHT2,A,5,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,20,YES,N/A,2288.888889
06/29/20,20,12,AHT3,A,5,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,74,YES,N/A,8468.888889
06/29/20,20,13,AHT4,A,5,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,63,YES,N/A,7210
06/29/20,20,5,ALE1,A,5,16,2,22,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/29/20,20,6,ALE2,A,5,16,2,22,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/29/20,20,7,ALE3,A,5,16,2,22,0.1,0.3,0.0,N/A,3,NO,11,NO,10,36.66666667
06/29/20,20,8,ALE4,A,5,16,2,22,0.1,0.3,0.0,N/A,26,NO,0,NO,86.66666667,0
06/29/20,20,9,ALE5,A,5,16,2,22,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/29/20,20,1,ALT1,A,5,16,2,22,0.1,0.3,6.0,0.3,N/A,N/A,22,YES,N/A,1540
06/29/20,20,2,ALT2,A,5,16,2,22,0.1,0.3,6.0,0.3,N/A,N/A,68,YES,N/A,4760
06/29/20,20,3,ALT3,A,5,16,2,22,0.1,0.3,6.0,0.3,N/A,N/A,44,YES,N/A,3080
06/29/20,20,4,ALT4,A,5,16,2,22,0.1,0.3,8.0,0.3,N/A,N/A,81,YES,N/A,7470
06/29/20,20,32,BHE1,B,1,20,2,22,0.4,0.3,0.0,N/A,4,NO,2,NO,13.33333333,6.666666667
06/29/20,20,33,BHE2,B,1,20,2,22,0.4,0.3,0.0,N/A,7,NO,0,NO,23.33333333,0
06/29/20,20,34,BHE3,B,1,20,2,22,0.4,0.3,0.0,N/A,5,NO,0,NO,16.66666667,0
06/29/20,20,35,BHE4,B,1,20,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
06/29/20,20,36,BHE5,B,1,20,2,22,0.4,0.3,0.0,N/A,3,NO,69,NO,10,230
06/29/20,20,28,BHT1,B,1,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,41,YES,N/A,4692.222222
06/29/20,20,29,BHT2,B,1,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,45,YES,N/A,5150
06/29/20,20,30,BHT3,B,1,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,58,YES,N/A,6637.777778
06/29/20,20,31,BHT4,B,1,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,87,YES,N/A,9956.666667
06/29/20,20,23,BLE1,B,1,20,2,22,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
06/29/20,20,24,BLE2,B,1,20,2,22,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
06/29/20,20,25,BLE3,B,1,20,2,22,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
06/29/20,20,26,BLE4,B,1,20,2,22,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/29/20,20,27,BLE5,B,1,20,2,22,0.1,0.3,0.0,N/A,3,NO,0,NO,10,0
06/29/20,20,19,BLT1,B,1,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,38,YES,N/A,2660
06/29/20,20,20,BLT2,B,1,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,19,YES,N/A,1330
06/29/20,20,21,BLT3,B,1,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,39,YES,N/A,2730
06/29/20,20,22,BLT4,B,1,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,18,YES,N/A,1260
07/03/20,24,52,CHE3,C,1,24,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/06/20,27,52,CHE3,C,4,24,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/08/20,29,52,CHE3,C,6,24,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/10/20,31,52,CHE3,C,8,24,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/13/20,34,52,CHE3,C,11,24,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
06/29/20,20,46,CHT1,C,21,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,52,YES,N/A,5951.111111
06/29/20,20,47,CHT2,C,21,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,69,YES,N/A,7896.666667
06/29/20,20,48,CHT3,C,21,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,66,YES,N/A,7553.333333
06/29/20,20,49,CHT4,C,21,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,70,YES,N/A,8011.111111
07/15/20,36,52,CHE3,C,13,24,2,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/17/20,38,52,CHE3,C,15,24,2,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/20/20,41,52,CHE3,C,18,24,2,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/22/20,43,52,CHE3,C,20,24,2,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/24/20,45,52,CHE3,C,22,24,2,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
06/29/20,20,37,CLT1,C,21,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,66,YES,N/A,4620
06/29/20,20,38,CLT2,C,21,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,46,YES,N/A,3220
06/29/20,20,39,CLT3,C,21,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,42,YES,N/A,2940
06/29/20,20,40,CLT4,C,21,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,37,YES,N/A,2590
06/30/20,21,68,DHE1,D,22,28,1,27,0.4,0.3,0.0,N/A,3,NO,0,NO,10,0
06/30/20,21,69,DHE2,D,22,28,1,27,0.4,0.3,0.0,N/A,4,NO,28,NO,13.33333333,93.33333333
06/30/20,21,70,DHE3,D,22,28,1,27,0.4,0.3,2.0,0.3,0,NO,29,YES,0,741.1111111
06/30/20,21,71,DHE4,D,22,28,1,27,0.4,0.3,0.0,N/A,7,NO,19,NO,23.33333333,63.33333333
06/30/20,21,72,DHE5,D,22,28,1,27,0.4,0.3,0.0,N/A,2,NO,51,NO,6.666666667,170
06/30/20,21,64,DHT1,D,22,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,37,YES,N/A,4234.444444
06/30/20,21,65,DHT2,D,22,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,59,YES,N/A,6752.222222
06/30/20,21,66,DHT3,D,22,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,49,YES,N/A,5607.777778
06/30/20,21,67,DHT4,D,22,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,68,YES,N/A,7782.222222
06/30/20,21,59,DLE1,D,22,28,1,27,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/30/20,21,60,DLE2,D,22,28,1,27,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/30/20,21,61,DLE3,D,22,28,1,27,0.1,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
06/30/20,21,62,DLE4,D,22,28,1,27,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/30/20,21,63,DLE5,D,22,28,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
06/30/20,21,55,DLT1,D,22,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,22,YES,N/A,1540
06/30/20,21,56,DLT2,D,22,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,58,YES,N/A,4060
06/30/20,21,57,DLT3,D,22,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,57,YES,N/A,3990
06/30/20,21,58,DLT4,D,22,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,62,YES,N/A,4340
06/30/20,21,86,EHE1,E,22,32,1,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
06/30/20,21,87,EHE2,E,22,32,1,27,0.4,0.3,0.0,N/A,0,NO,56,NO,0,186.6666667
06/30/20,21,88,EHE3,E,22,32,1,27,0.4,0.3,0.0,N/A,1,NO,7,NO,3.333333333,23.33333333
06/30/20,21,89,EHE4,E,22,32,1,27,0.4,0.3,0.0,N/A,9,NO,0,NO,30,0
06/30/20,21,90,EHE5,E,22,32,1,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
06/30/20,21,82,EHT1,E,22,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,63,YES,N/A,7210
06/30/20,21,83,EHT2,E,22,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,72,YES,N/A,8240
06/30/20,21,84,EHT3,E,22,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,53,YES,N/A,6065.555556
06/30/20,21,85,EHT4,E,22,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,75,YES,N/A,8583.333333
06/30/20,21,77,ELE1,E,22,32,1,27,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
06/30/20,21,78,ELE2,E,22,32,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
06/30/20,21,79,ELE3,E,22,32,1,27,0.1,0.3,0.0,N/A,2,NO,7,NO,6.666666667,23.33333333
06/30/20,21,80,ELE4,E,22,32,1,27,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
06/30/20,21,81,ELE5,E,22,32,1,27,0.1,0.3,0.0,N/A,2,NO,16,NO,6.666666667,53.33333333
06/30/20,21,73,ELT1,E,22,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,44,YES,N/A,3080
06/30/20,21,74,ELT2,E,22,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,74,YES,N/A,5180
06/30/20,21,75,ELT3,E,22,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,30,YES,N/A,2100
06/30/20,21,76,ELT4,E,22,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,22,YES,N/A,1540
06/30/20,21,104,FHE1,F,22,36,1,27,0.4,0.3,0.0,N/A,6,NO,0,NO,20,0
06/30/20,21,105,FHE2,F,22,36,1,27,0.4,0.3,0.0,N/A,5,NO,0,NO,16.66666667,0
06/30/20,21,106,FHE3,F,22,36,1,27,0.4,0.3,0.0,N/A,10,NO,0,NO,33.33333333,0
06/30/20,21,107,FHE4,F,22,36,1,27,0.4,0.3,0.0,N/A,11,NO,0,NO,36.66666667,0
06/30/20,21,108,FHE5,F,22,36,1,27,0.4,0.3,0.0,N/A,5,NO,0,NO,16.66666667,0
06/30/20,21,100,FHT1,F,22,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,90,YES,N/A,10300
06/30/20,21,101,FHT2,F,22,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,78,YES,N/A,8926.666667
06/30/20,21,102,FHT3,F,22,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,77,YES,N/A,8812.222222
06/30/20,21,103,FHT4,F,22,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,24,YES,N/A,2746.666667
06/30/20,21,95,FLE1,F,22,36,1,27,0.1,0.3,0.0,N/A,9,NO,0,NO,30,0
06/30/20,21,96,FLE2,F,22,36,1,27,0.1,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
06/30/20,21,97,FLE3,F,22,36,1,27,0.1,0.3,0.0,N/A,14,NO,0,NO,46.66666667,0
06/30/20,21,98,FLE4,F,22,36,1,27,0.1,0.3,1.0,0.3,0,NO,16,YES,0,231.1111111
06/30/20,21,99,FLE5,F,22,36,1,27,0.1,0.3,0.0,N/A,5,NO,0,NO,16.66666667,0
06/30/20,21,91,FLT1,F,22,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,56,YES,N/A,3920
06/30/20,21,92,FLT2,F,22,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,48,YES,N/A,3360
06/30/20,21,93,FLT3,F,22,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,83,YES,N/A,5810
06/30/20,21,94,FLT4,F,22,36,1,27,0.1,0.3,6.0,0.3,N/A,N/A,81,YES,N/A,5670
07/01/20,22,14,AHE1,A,7,16,2,22,0.4,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
07/01/20,22,15,AHE2,A,7,16,2,22,0.4,0.3,0.0,N/A,5,NO,0,NO,16.66666667,0
07/01/20,22,16,AHE3,A,7,16,2,22,0.4,0.3,0.0,N/A,3,NO,0,NO,10,0
07/01/20,22,17,AHE4,A,7,16,2,22,0.4,0.3,0.0,N/A,14,NO,0,NO,46.66666667,0
07/01/20,22,18,AHE5,A,7,16,2,22,0.4,0.3,0.0,N/A,13,NO,0,NO,43.33333333,0
07/01/20,22,10,AHT1,A,7,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,54,YES,N/A,6180
07/01/20,22,11,AHT2,A,7,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,48,YES,N/A,5493.333333
07/01/20,22,12,AHT3,A,7,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,42,YES,N/A,4806.666667
07/01/20,22,13,AHT4,A,7,16,2,22,0.4,0.3,10.0,0.3,N/A,N/A,82,YES,N/A,9384.444444
07/01/20,22,5,ALE1,A,7,16,2,22,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,6,ALE2,A,7,16,2,22,0.1,0.3,0.0,N/A,3,NO,0,NO,10,0
07/01/20,22,7,ALE3,A,7,16,2,22,0.1,0.3,0.0,N/A,5,NO,0,NO,16.66666667,0
07/01/20,22,8,ALE4,A,7,16,2,22,0.1,0.3,0.0,N/A,14,NO,1,NO,46.66666667,3.333333333
07/01/20,22,9,ALE5,A,7,16,2,22,0.1,0.3,0.0,N/A,14,NO,0,NO,46.66666667,0
07/01/20,22,1,ALT1,A,7,16,2,22,0.1,0.3,6.0,0.3,N/A,N/A,62,YES,N/A,4340
07/01/20,22,2,ALT2,A,7,16,2,22,0.1,0.3,6.0,0.3,N/A,N/A,60,YES,N/A,4200
07/01/20,22,3,ALT3,A,7,16,2,22,0.1,0.3,6.0,0.3,N/A,N/A,26,YES,N/A,1820
07/01/20,22,4,ALT4,A,7,16,2,22,0.1,0.3,8.0,0.3,N/A,N/A,75,YES,N/A,6916.666667
07/01/20,22,32,BHE1,B,3,20,2,22,0.4,0.3,0.0,N/A,6,NO,0,NO,20,0
07/01/20,22,33,BHE2,B,3,20,2,22,0.4,0.3,0.0,N/A,6,NO,0,NO,20,0
07/01/20,22,34,BHE3,B,3,20,2,22,0.4,0.3,0.0,N/A,8,NO,0,NO,26.66666667,0
07/01/20,22,35,BHE4,B,3,20,2,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,36,BHE5,B,3,20,2,22,0.4,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
07/01/20,22,28,BHT1,B,3,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,82,YES,N/A,9384.444444
07/01/20,22,29,BHT2,B,3,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,78,YES,N/A,8926.666667
07/01/20,22,30,BHT3,B,3,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,83,YES,N/A,9498.888889
07/01/20,22,31,BHT4,B,3,20,2,22,0.4,0.3,10.0,0.3,N/A,N/A,54,YES,N/A,6180
07/01/20,22,23,BLE1,B,3,20,2,22,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
07/01/20,22,24,BLE2,B,3,20,2,22,0.1,0.3,2.0,0.3,0,NO,28,YES,0,715.5555556
07/01/20,22,25,BLE3,B,3,20,2,22,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,26,BLE4,B,3,20,2,22,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,27,BLE5,B,3,20,2,22,0.1,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
07/01/20,22,19,BLT1,B,3,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,77,YES,N/A,5390
07/01/20,22,20,BLT2,B,3,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,30,YES,N/A,2100
07/01/20,22,21,BLT3,B,3,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,27,YES,N/A,1890
07/01/20,22,22,BLT4,B,3,20,2,22,0.1,0.3,6.0,0.3,N/A,N/A,21,YES,N/A,1470
07/27/20,48,52,CHE3,C,1,24,3,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/29/20,50,52,CHE3,C,3,24,3,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/31/20,52,52,CHE3,C,5,24,3,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
08/03/20,55,52,CHE3,C,8,24,3,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
08/05/20,57,52,CHE3,C,10,24,3,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,46,CHT1,C,23,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,57,YES,N/A,6523.333333
07/01/20,22,47,CHT2,C,23,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,58,YES,N/A,6637.777778
07/01/20,22,48,CHT3,C,23,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,87,YES,N/A,9956.666667
07/01/20,22,49,CHT4,C,23,24,1,27,0.4,0.3,10.0,0.3,N/A,N/A,82,YES,N/A,9384.444444
08/07/20,59,52,CHE3,C,12,24,3,22,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
08/10/20,62,52,CHE3,C,15,24,3,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
08/12/20,64,52,CHE3,C,17,24,3,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
08/14/20,66,52,CHE3,C,19,24,3,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
08/17/20,69,52,CHE3,C,22,24,3,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/01/20,22,37,CLT1,C,23,24,1,27,0.1,0.3,8.0,0.3,N/A,N/A,85,YES,N/A,7838.888889
07/01/20,22,38,CLT2,C,23,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,78,YES,N/A,5460
07/01/20,22,39,CLT3,C,23,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,47,YES,N/A,3290
07/01/20,22,40,CLT4,C,23,24,1,27,0.1,0.3,6.0,0.3,N/A,N/A,65,YES,N/A,4550
07/02/20,23,68,DHE1,D,24,28,1,27,0.4,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
07/02/20,23,69,DHE2,D,24,28,1,27,0.4,0.3,0.0,N/A,6,NO,0,NO,20,0
07/02/20,23,70,DHE3,D,24,28,1,27,0.4,0.3,0.0,N/A,10,NO,0,NO,33.33333333,0
07/02/20,23,71,DHE4,D,24,28,1,27,0.4,0.3,0.0,N/A,10,NO,0,NO,33.33333333,0
07/02/20,23,72,DHE5,D,24,28,1,27,0.4,0.3,0.0,N/A,6,NO,1,NO,20,3.333333333
07/02/20,23,64,DHT1,D,24,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,63,YES,N/A,7210
07/02/20,23,65,DHT2,D,24,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,55,YES,N/A,6294.444444
07/02/20,23,66,DHT3,D,24,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,75,YES,N/A,8583.333333
07/02/20,23,67,DHT4,D,24,28,1,27,0.4,0.3,10.0,0.3,N/A,N/A,55,YES,N/A,6294.444444
07/02/20,23,59,DLE1,D,24,28,1,27,0.1,0.3,0.0,N/A,0,NO,35,NO,0,116.6666667
07/02/20,23,60,DLE2,D,24,28,1,27,0.1,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
07/02/20,23,61,DLE3,D,24,28,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/02/20,23,62,DLE4,D,24,28,1,27,0.1,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
07/02/20,23,63,DLE5,D,24,28,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/02/20,23,55,DLT1,D,24,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,20,YES,N/A,1400
07/02/20,23,56,DLT2,D,24,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,39,YES,N/A,2730
07/02/20,23,57,DLT3,D,24,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,61,YES,N/A,4270
07/02/20,23,58,DLT4,D,24,28,1,27,0.1,0.3,6.0,0.3,N/A,N/A,68,YES,N/A,4760
07/02/20,23,86,EHE1,E,24,32,1,27,0.4,0.3,0.0,N/A,0,NO,0,NO,0,0
07/02/20,23,87,EHE2,E,24,32,1,27,0.4,0.3,6.0,0.3,0,NO,80,YES,0,5600
07/02/20,23,88,EHE3,E,24,32,1,27,0.4,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
07/02/20,23,89,EHE4,E,24,32,1,27,0.4,0.3,0.0,N/A,4,NO,0,NO,13.33333333,0
07/02/20,23,90,EHE5,E,24,32,1,27,0.4,0.3,0.0,N/A,1,NO,13,NO,3.333333333,43.33333333
07/02/20,23,82,EHT1,E,24,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,88,YES,N/A,10071.11111
07/02/20,23,83,EHT2,E,24,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,56,YES,N/A,6408.888889
07/02/20,23,84,EHT3,E,24,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,47,YES,N/A,5378.888889
07/02/20,23,85,EHT4,E,24,32,1,27,0.4,0.3,10.0,0.3,N/A,N/A,58,YES,N/A,6637.777778
07/02/20,23,77,ELE1,E,24,32,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/02/20,23,78,ELE2,E,24,32,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/02/20,23,79,ELE3,E,24,32,1,27,0.1,0.3,0.0,N/A,10,NO,3,NO,33.33333333,10
07/02/20,23,80,ELE4,E,24,32,1,27,0.1,0.3,0.0,N/A,0,NO,0,NO,0,0
07/02/20,23,81,ELE5,E,24,32,1,27,0.1,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
07/02/20,23,73,ELT1,E,24,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,52,YES,N/A,3640
07/02/20,23,74,ELT2,E,24,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,74,YES,N/A,5180
07/02/20,23,75,ELT3,E,24,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,39,YES,N/A,2730
07/02/20,23,76,ELT4,E,24,32,1,27,0.1,0.3,6.0,0.3,N/A,N/A,28,YES,N/A,1960
07/02/20,23,104,FHE1,F,24,36,1,27,0.4,0.3,0.0,N/A,4,NO,1,NO,13.33333333,3.333333333
07/02/20,23,105,FHE2,F,24,36,1,27,0.4,0.3,0.0,N/A,2,NO,0,NO,6.666666667,0
07/02/20,23,106,FHE3,F,24,36,1,27,0.4,0.3,0.0,N/A,5,NO,3,NO,16.66666667,10
07/02/20,23,107,FHE4,F,24,36,1,27,0.4,0.3,0.0,N/A,1,NO,25,NO,3.333333333,83.33333333
07/02/20,23,108,FHE5,F,24,36,1,27,0.4,0.3,0.0,N/A,1,NO,0,NO,3.333333333,0
07/02/20,23,100,FHT1,F,24,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,55,YES,N/A,6294.444444
07/02/20,23,101,FHT2,F,24,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,86,YES,N/A,9842.222222
07/02/20,23,102,FHT3,F,24,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,74,YES,N/A,8468.888889
07/02/20,23,103,FHT4,F,24,36,1,27,0.4,0.3,10.0,0.3,N/A,N/A,30,YES,N/A,3433.333333
